GTEX-148VJ	GTEX-148VJ-0006-SM-5NQB1	SRR8222420
GTEX-1497J	GTEX-1497J-0005-SM-5NQBD	SRR8222440
GTEX-14A5H	GTEX-14A5H-0006-SM-5O9AI	SRR8222456
GTEX-14A5I	GTEX-14A5I-0005-SM-5N9FU	SRR8222468
GTEX-14A6H	GTEX-14A6H-0006-SM-5NQ7W	SRR8222483
GTEX-14ABY	GTEX-14ABY-0005-SM-5O99U	SRR8222499
GTEX-14AS3	GTEX-14AS3-0006-SM-5NQC2	SRR8222519
GTEX-14B4R	GTEX-14B4R-0006-SM-5O9A7	SRR8222556
GTEX-14BIL	GTEX-14BIL-0006-SM-5N9F2	SRR8222569
GTEX-14BIM	GTEX-14BIM-0006-SM-5O9AA	SRR8222588
GTEX-14BIN	GTEX-14BIN-0005-SM-5N9FE	SRR8222609
GTEX-14BMU	GTEX-14BMU-0006-SM-5MR3T	SRR8222636
GTEX-14BMV	GTEX-14BMV-0005-SM-5NQ6Y	SRR8222660
GTEX-14C38	GTEX-14C38-0006-SM-5NQBF	SRR8222687
GTEX-14C39	GTEX-14C39-0005-SM-5NQBR	SRR8222702
GTEX-14C5O	GTEX-14C5O-0005-SM-5P9ER	SRR8222729
GTEX-14DAQ	GTEX-14DAQ-0005-SM-5NQ7B	SRR8222761
GTEX-14DAR	GTEX-14DAR-0006-SM-5N9GC	SRR8222791
GTEX-14E1K	GTEX-14E1K-0006-SM-5N9DY	SRR8222812
GTEX-14E6C	GTEX-14E6C-0005-SM-5O98N	SRR8222834
GTEX-14E6D	GTEX-14E6D-0005-SM-5N9D7	SRR8222854
GTEX-14E6E	GTEX-14E6E-0006-SM-5MR5N	SRR8222867
GTEX-14E7W	GTEX-14E7W-0006-SM-5N9GG	SRR8222890
GTEX-14H4A	GTEX-14H4A-0006-SM-5N9E3	SRR8222918
GTEX-14ICK	GTEX-14ICK-0006-SM-5NQB5	SRR8222930
GTEX-14ICL	GTEX-14ICL-0006-SM-5SIAB	SRR8222941
GTEX-15RIE	GTEX-15RIE-0006-SM-7MKF8	SRR8225740
GTEX-16NPX	GTEX-16NPX-0005-SM-7MKGG	SRR8226058
GTEX-16XZZ	GTEX-16XZZ-0006-SM-7MKF5	SRR8226080
GTEX-17GQL	GTEX-17GQL-0005-SM-7MKF4	SRR8226317
GTEX-17HII	GTEX-17HII-0005-SM-7MKF6	SRR8226423
GTEX-1A3MW	GTEX-1A3MW-0006-SM-7MKGU	SRR8226833
GTEX-1B8SG	GTEX-1B8SG-0006-SM-7MKFA	SRR8227151
GTEX-1C2JI	GTEX-1C2JI-0006-SM-7MKFD	SRR8227285
GTEX-1C4CL	GTEX-1C4CL-0005-SM-7MKF3	SRR8227317
GTEX-1C6VR	GTEX-1C6VR-0005-SM-7MKF7	SRR8227379
GTEX-N7MS	GTEX-N7MS-0007-SM-2D7W1	SRR8227607
GTEX-N7MT	GTEX-N7MT-0007-SM-3GACQ	SRR8227635
GTEX-NFK9	GTEX-NFK9-0006-SM-3GACS	SRR8227659
GTEX-NL3G	GTEX-NL3G-0007-SM-4SOIF	SRR8227678
GTEX-NPJ7	GTEX-NPJ7-0006-SM-3GACR	SRR8227705
GTEX-NPJ8	GTEX-NPJ8-0007-SM-2D7VX	SRR8227722
