Run	Sample_Name	body_site	submitted_subject_id
SRR598484	GTEX-PW2O-0526-SM-2I3DX	Lung	GTEX-PW2O
SRR8228298	GTEX-PW2O-0526-SM-2I3DX	Lung	GTEX-PW2O
SRR598124	GTEX-NPJ8-0011-R4a-SM-2HML3	Brain - Amygdala	GTEX-NPJ8
SRR8227730	GTEX-NPJ8-0011-R4a-SM-2HML3	Brain - Amygdala	GTEX-NPJ8
SRR599192	GTEX-N7MT-0011-R5a-SM-2I3G6	Brain - Caudate (basal ganglia)	GTEX-N7MT
SRR8227642	GTEX-N7MT-0011-R5a-SM-2I3G6	Brain - Caudate (basal ganglia)	GTEX-N7MT
SRR601925	GTEX-OHPK-0526-SM-2HMJB	Lung	GTEX-OHPK
SRR8227810	GTEX-OHPK-0526-SM-2HMJB	Lung	GTEX-OHPK
SRR601068	GTEX-Q2AG-0126-SM-2HMLB	Skin - Sun Exposed (Lower leg)	GTEX-Q2AG
SRR8228416	GTEX-Q2AG-0126-SM-2HMLB	Skin - Sun Exposed (Lower leg)	GTEX-Q2AG
SRR602598	GTEX-Q2AG-0011-R9A-SM-2HMJ6	Brain - Spinal cord (cervical c-1)	GTEX-Q2AG
SRR8228415	GTEX-Q2AG-0011-R9A-SM-2HMJ6	Brain - Spinal cord (cervical c-1)	GTEX-Q2AG
SRR607586	GTEX-OXRL-0526-SM-2I3EZ	Lung	GTEX-OXRL
SRR8227984	GTEX-OXRL-0526-SM-2I3EZ	Lung	GTEX-OXRL
SRR608288	GTEX-OXRK-0926-SM-2HMKP	Lung	GTEX-OXRK
SRR8227970	GTEX-OXRK-0926-SM-2HMKP	Lung	GTEX-OXRK
SRR600445	GTEX-Q2AG-0011-R4A-SM-2HMKA	Brain - Amygdala	GTEX-Q2AG
SRR8228410	GTEX-Q2AG-0011-R4A-SM-2HMKA	Brain - Amygdala	GTEX-Q2AG
SRR608344	GTEX-OIZH-0005-SM-2HMJN	Whole Blood	GTEX-OIZH
SRR8227895	GTEX-OIZH-0005-SM-2HMJN	Whole Blood	GTEX-OIZH
SRR600493	GTEX-PSDG-0226-SM-2I5FR	Skin - Sun Exposed (Lower leg)	GTEX-PSDG
SRR8228259	GTEX-PSDG-0226-SM-2I5FR	Skin - Sun Exposed (Lower leg)	GTEX-PSDG
SRR608662	GTEX-OHPN-2526-SM-2I5H3	Brain - Cortex	GTEX-OHPN
SRR8227877	GTEX-OHPN-2526-SM-2I5H3	Brain - Cortex	GTEX-OHPN
SRR607406	GTEX-NPJ7-0011-R5a-SM-2I5GY	Brain - Caudate (basal ganglia)	GTEX-NPJ7
SRR8227712	GTEX-NPJ7-0011-R5a-SM-2I5GY	Brain - Caudate (basal ganglia)	GTEX-NPJ7
SRR598253	GTEX-Q2AG-0011-R6A-SM-2HML7	Brain - Nucleus accumbens (basal ganglia)	GTEX-Q2AG
SRR8228412	GTEX-Q2AG-0011-R6A-SM-2HML7	Brain - Nucleus accumbens (basal ganglia)	GTEX-Q2AG
SRR603942	GTEX-OHPJ-0526-SM-2HMJR	Thyroid	GTEX-OHPJ
SRR8227798	GTEX-OHPJ-0526-SM-2HMJR	Thyroid	GTEX-OHPJ
SRR598276	GTEX-N7MS-0011-R7a-SM-2HMKN	Brain - Putamen (basal ganglia)	GTEX-N7MS
SRR8227619	GTEX-N7MS-0011-R7a-SM-2HMKN	Brain - Putamen (basal ganglia)	GTEX-N7MS
SRR598894	GTEX-OHPN-0011-R7A-SM-2I5FI	Brain - Putamen (basal ganglia)	GTEX-OHPN
SRR8227870	GTEX-OHPN-0011-R7A-SM-2I5FI	Brain - Putamen (basal ganglia)	GTEX-OHPN
SRR604002	GTEX-PW2O-0006-SM-2I3DV	Whole Blood	GTEX-PW2O
SRR8228293	GTEX-PW2O-0006-SM-2I3DV	Whole Blood	GTEX-PW2O
SRR608064	GTEX-P4PQ-2626-SM-2HMKM	Thyroid	GTEX-P4PQ
SRR8228108	GTEX-P4PQ-2626-SM-2HMKM	Thyroid	GTEX-P4PQ
SRR602753	GTEX-OHPN-2626-SM-2I5H1	Brain - Cerebellum	GTEX-OHPN
SRR8227878	GTEX-OHPN-2626-SM-2I5H1	Brain - Cerebellum	GTEX-OHPN
SRR603397	GTEX-NPJ7-0011-R2a-SM-2I3GF	Brain - Substantia nigra	GTEX-NPJ7
SRR8227710	GTEX-NPJ7-0011-R2a-SM-2I3GF	Brain - Substantia nigra	GTEX-NPJ7
SRR599281	GTEX-OXRO-0006-SM-2I5EM	Whole Blood	GTEX-OXRO
SRR8228004	GTEX-OXRO-0006-SM-2I5EM	Whole Blood	GTEX-OXRO
SRR598695	GTEX-Q2AG-1026-SM-2HMJX	Lung	GTEX-Q2AG
SRR8228425	GTEX-Q2AG-1026-SM-2HMJX	Lung	GTEX-Q2AG
SRR598862	GTEX-Q2AG-0011-R8A-SM-2HMK5	Brain - Hypothalamus	GTEX-Q2AG
SRR8228414	GTEX-Q2AG-0011-R8A-SM-2HMK5	Brain - Hypothalamus	GTEX-Q2AG
SRR602622	GTEX-NL4W-0011-R5a-SM-2I3GD	Brain - Caudate (basal ganglia)	GTEX-NL4W
SRR8227701	GTEX-NL4W-0011-R5a-SM-2I3GD	Brain - Caudate (basal ganglia)	GTEX-NL4W
SRR604653	GTEX-P4QT-0126-SM-2I3FL	Skin - Sun Exposed (Lower leg)	GTEX-P4QT
SRR8228138	GTEX-P4QT-0126-SM-2I3FL	Skin - Sun Exposed (Lower leg)	GTEX-P4QT
SRR598428	GTEX-Q2AG-0011-R5A-SM-2HMJH	Brain - Caudate (basal ganglia)	GTEX-Q2AG
SRR8228411	GTEX-Q2AG-0011-R5A-SM-2HMJH	Brain - Caudate (basal ganglia)	GTEX-Q2AG
SRR595926	GTEX-N7MS-0011-R10A-SM-2HMJK	Brain - Frontal Cortex (BA9)	GTEX-N7MS
SRR8227609	GTEX-N7MS-0011-R10A-SM-2HMJK	Brain - Frontal Cortex (BA9)	GTEX-N7MS
SRR608096	GTEX-N7MS-0826-SM-2HML4	Heart - Left Ventricle	GTEX-N7MS
SRR8227627	GTEX-N7MS-0826-SM-2HML4	Heart - Left Ventricle	GTEX-N7MS
SRR598749	K-562-SM-2D7VY	Cells - Leukemia cell line (CML)	K-562
SRR8232961	K-562-SM-2D7VY	Cells - Leukemia cell line (CML)	K-562
SRR599510	GTEX-OHPN-0011-R10A-SM-2I5FL	Brain - Frontal Cortex (BA9)	GTEX-OHPN
SRR8227860	GTEX-OHPN-0011-R10A-SM-2I5FL	Brain - Frontal Cortex (BA9)	GTEX-OHPN
SRR606974	GTEX-O5YV-2026-SM-2D7VS	Muscle - Skeletal	GTEX-O5YV
SRR8227785	GTEX-O5YV-2026-SM-2D7VS	Muscle - Skeletal	GTEX-O5YV
SRR603752	GTEX-P44G-0011-R5A-SM-2I3FA	Brain - Caudate (basal ganglia)	GTEX-P44G
SRR8228039	GTEX-P44G-0011-R5A-SM-2I3FA	Brain - Caudate (basal ganglia)	GTEX-P44G
SRR602540	GTEX-Q2AG-0011-R7A-SM-2HMJP	Brain - Putamen (basal ganglia)	GTEX-Q2AG
SRR8228413	GTEX-Q2AG-0011-R7A-SM-2HMJP	Brain - Putamen (basal ganglia)	GTEX-Q2AG
SRR599313	GTEX-QDVN-2126-SM-2I3FR	Adipose - Subcutaneous	GTEX-QDVN
SRR8228576	GTEX-QDVN-2126-SM-2I3FR	Adipose - Subcutaneous	GTEX-QDVN
SRR598364	GTEX-QLQ7-0726-SM-2I5G2	Thyroid	GTEX-QLQ7
SRR8228655	GTEX-QLQ7-0726-SM-2I5G2	Thyroid	GTEX-QLQ7
SRR600754	GTEX-N7MT-0011-R11A-SM-2I3DZ	Brain - Cerebellar Hemisphere	GTEX-N7MT
SRR8227637	GTEX-N7MT-0011-R11A-SM-2I3DZ	Brain - Cerebellar Hemisphere	GTEX-N7MT
SRR607067	GTEX-OOBK-1626-SM-2HMKG	Muscle - Skeletal	GTEX-OOBK
SRR8227951	GTEX-OOBK-1626-SM-2HMKG	Muscle - Skeletal	GTEX-OOBK
SRR601645	GTEX-P4PQ-0326-SM-2HMJ8	Heart - Left Ventricle	GTEX-P4PQ
SRR8228098	GTEX-P4PQ-0326-SM-2HMJ8	Heart - Left Ventricle	GTEX-P4PQ
SRR601122	GTEX-NL4W-0011-R6a-SM-2I3GA	Brain - Nucleus accumbens (basal ganglia)	GTEX-NL4W
SRR8227702	GTEX-NL4W-0011-R6a-SM-2I3GA	Brain - Nucleus accumbens (basal ganglia)	GTEX-NL4W
SRR607839	GTEX-N7MS-0926-SM-2HMIZ	Lung	GTEX-N7MS
SRR8227628	GTEX-N7MS-0926-SM-2HMIZ	Lung	GTEX-N7MS
SRR603268	GTEX-Q734-0526-SM-2I3EH	Thyroid	GTEX-Q734
SRR8228478	GTEX-Q734-0526-SM-2I3EH	Thyroid	GTEX-Q734
SRR608002	GTEX-P44G-0011-R3A-SM-2I3FC	Brain - Anterior cingulate cortex (BA24)	GTEX-P44G
SRR8228037	GTEX-P44G-0011-R3A-SM-2I3FC	Brain - Anterior cingulate cortex (BA24)	GTEX-P44G
SRR603116	GTEX-OOBJ-1626-SM-2I3F7	Muscle - Skeletal	GTEX-OOBJ
SRR8227936	GTEX-OOBJ-1626-SM-2I3F7	Muscle - Skeletal	GTEX-OOBJ
SRR607967	GTEX-N7MT-1226-SM-2D7W4	Brain - Cerebellum	GTEX-N7MT
SRR8227653	GTEX-N7MT-1226-SM-2D7W4	Brain - Cerebellum	GTEX-N7MT
SRR598509	GTEX-N7MT-1326-SM-2I3FV	Heart - Left Ventricle	GTEX-N7MT
SRR8227655	GTEX-N7MT-1326-SM-2I3FV	Heart - Left Ventricle	GTEX-N7MT
SRR603092	GTEX-QDVN-0726-SM-2I3FO	Lung	GTEX-QDVN
SRR8228565	GTEX-QDVN-0726-SM-2I3FO	Lung	GTEX-QDVN
SRR600784	GTEX-N7MT-0126-SM-2D7VT	Lung	GTEX-N7MT
SRR8227646	GTEX-N7MT-0126-SM-2D7VT	Lung	GTEX-N7MT
SRR601962	GTEX-QDVN-0626-SM-2I3FP	Thyroid	GTEX-QDVN
SRR8228564	GTEX-QDVN-0626-SM-2I3FP	Thyroid	GTEX-QDVN
SRR603333	GTEX-OXRN-2426-SM-2I5EQ	Brain - Cortex	GTEX-OXRN
SRR8228002	GTEX-OXRN-2426-SM-2I5EQ	Brain - Cortex	GTEX-OXRN
SRR600533	GTEX-NL3H-0011-R7a-SM-2I3G5	Brain - Putamen (basal ganglia)	GTEX-NL3H
SRR8227693	GTEX-NL3H-0011-R7a-SM-2I3G5	Brain - Putamen (basal ganglia)	GTEX-NL3H
SRR603212	GTEX-OHPL-0126-SM-2HMJ7	Skin - Sun Exposed (Lower leg)	GTEX-OHPL
SRR8227823	GTEX-OHPL-0126-SM-2HMJ7	Skin - Sun Exposed (Lower leg)	GTEX-OHPL
SRR607775	GTEX-N7MS-0011-R3a-SM-2HMKD	Brain - Anterior cingulate cortex (BA24)	GTEX-N7MS
SRR8227613	GTEX-N7MS-0011-R3a-SM-2HMKD	Brain - Anterior cingulate cortex (BA24)	GTEX-N7MS
SRR598220	GTEX-QEG5-0006-SM-2I5FZ	Whole Blood	GTEX-QEG5
SRR8228598	GTEX-QEG5-0006-SM-2I5FZ	Whole Blood	GTEX-QEG5
SRR600361	GTEX-N7MT-0011-R10A-SM-2I3E1	Brain - Frontal Cortex (BA9)	GTEX-N7MT
SRR8227636	GTEX-N7MT-0011-R10A-SM-2I3E1	Brain - Frontal Cortex (BA9)	GTEX-N7MT
SRR604098	GTEX-N7MS-0011-R11A-SM-2HMJS	Brain - Cerebellar Hemisphere	GTEX-N7MS
SRR8227610	GTEX-N7MS-0011-R11A-SM-2HMJS	Brain - Cerebellar Hemisphere	GTEX-N7MS
SRR601843	GTEX-OXRL-2626-SM-2I3F1	Thyroid	GTEX-OXRL
SRR8227991	GTEX-OXRL-2626-SM-2I3F1	Thyroid	GTEX-OXRL
SRR599025	GTEX-QMRM-0526-SM-2I5GA	Heart - Left Ventricle	GTEX-QMRM
SRR8228703	GTEX-QMRM-0526-SM-2I5GA	Heart - Left Ventricle	GTEX-QMRM
SRR597927	GTEX-NL3H-0011-R6a-SM-2I3G8	Brain - Nucleus accumbens (basal ganglia)	GTEX-NL3H
SRR8227692	GTEX-NL3H-0011-R6a-SM-2I3G8	Brain - Nucleus accumbens (basal ganglia)	GTEX-NL3H
SRR600924	GTEX-OHPM-0326-SM-2HMKT	Heart - Left Ventricle	GTEX-OHPM
SRR8227845	GTEX-OHPM-0326-SM-2HMKT	Heart - Left Ventricle	GTEX-OHPM
SRR604206	GTEX-OHPJ-0926-SM-2HMJ1	Heart - Left Ventricle	GTEX-OHPJ
SRR8227801	GTEX-OHPJ-0926-SM-2HMJ1	Heart - Left Ventricle	GTEX-OHPJ
SRR601755	GTEX-OHPN-0011-R3A-SM-2I5FC	Brain - Anterior cingulate cortex (BA24)	GTEX-OHPN
SRR8227866	GTEX-OHPN-0011-R3A-SM-2I5FC	Brain - Anterior cingulate cortex (BA24)	GTEX-OHPN
SRR607279	GTEX-PLZ6-0426-SM-2I5FG	Lung	GTEX-PLZ6
SRR8228209	GTEX-PLZ6-0426-SM-2I5FG	Lung	GTEX-PLZ6
SRR605101	GTEX-PLZ5-1726-SM-2I5F6	Muscle - Skeletal	GTEX-PLZ5
SRR8228200	GTEX-PLZ5-1726-SM-2I5F6	Muscle - Skeletal	GTEX-PLZ5
SRR598638	GTEX-NL3H-0011-R5a-SM-2I3GB	Brain - Caudate (basal ganglia)	GTEX-NL3H
SRR8227691	GTEX-NL3H-0011-R5a-SM-2I3GB	Brain - Caudate (basal ganglia)	GTEX-NL3H
SRR604366	GTEX-NPJ8-0011-R5a-SM-2HMJY	Brain - Caudate (basal ganglia)	GTEX-NPJ8
SRR8227731	GTEX-NPJ8-0011-R5a-SM-2HMJY	Brain - Caudate (basal ganglia)	GTEX-NPJ8
SRR598332	GTEX-P44G-2426-SM-2I5ER	Brain - Cortex	GTEX-P44G
SRR8228048	GTEX-P44G-2426-SM-2I5ER	Brain - Cortex	GTEX-P44G
SRR600608	GTEX-NL3H-0011-R3a-SM-2I3GL	Brain - Anterior cingulate cortex (BA24)	GTEX-NL3H
SRR8227689	GTEX-NL3H-0011-R3a-SM-2I3GL	Brain - Anterior cingulate cortex (BA24)	GTEX-NL3H
SRR603365	GTEX-OXRN-1226-SM-2I5EL	Artery - Tibial	GTEX-OXRN
SRR8227998	GTEX-OXRN-1226-SM-2I5EL	Artery - Tibial	GTEX-OXRN
SRR601311	GTEX-PWOO-0726-SM-2I3EB	Lung	GTEX-PWOO
SRR8228364	GTEX-PWOO-0726-SM-2I3EB	Lung	GTEX-PWOO
SRR604390	GTEX-Q734-0626-SM-2I3EF	Lung	GTEX-Q734
SRR8228479	GTEX-Q734-0626-SM-2I3EF	Lung	GTEX-Q734
SRR604480	GTEX-P4PQ-0526-SM-2HMKR	Lung	GTEX-P4PQ
SRR8228100	GTEX-P4PQ-0526-SM-2HMKR	Lung	GTEX-P4PQ
SRR602871	GTEX-NL4W-0011-R9a-SM-2I3G1	Brain - Spinal cord (cervical c-1)	GTEX-NL4W
SRR8227704	GTEX-NL4W-0011-R9a-SM-2I3G1	Brain - Spinal cord (cervical c-1)	GTEX-NL4W
SRR601549	GTEX-PLZ4-1226-SM-2I5FE	Thyroid	GTEX-PLZ4
SRR8228182	GTEX-PLZ4-1226-SM-2I5FE	Thyroid	GTEX-PLZ4
SRR598068	GTEX-QEG5-0826-SM-2I5GF	Thyroid	GTEX-QEG5
SRR8228608	GTEX-QEG5-0826-SM-2I5GF	Thyroid	GTEX-QEG5
SRR602784	GTEX-OHPK-0006-SM-2HMKH	Whole Blood	GTEX-OHPK
SRR8227805	GTEX-OHPK-0006-SM-2HMKH	Whole Blood	GTEX-OHPK
SRR608456	GTEX-N7MS-0011-R1a-SM-2HMJG	Brain - Hippocampus	GTEX-N7MS
SRR8227611	GTEX-N7MS-0011-R1a-SM-2HMJG	Brain - Hippocampus	GTEX-N7MS
SRR603726	GTEX-Q2AH-0726-SM-2I3EA	Thyroid	GTEX-Q2AH
SRR8228443	GTEX-Q2AH-0726-SM-2I3EA	Thyroid	GTEX-Q2AH
SRR597952	GTEX-OOBJ-2626-SM-2I3F6	Thyroid	GTEX-OOBJ
SRR8227940	GTEX-OOBJ-2626-SM-2I3F6	Thyroid	GTEX-OOBJ
SRR602646	GTEX-QDVJ-1726-SM-2I5FX	Skin - Sun Exposed (Lower leg)	GTEX-QDVJ
SRR8228552	GTEX-QDVJ-1726-SM-2I5FX	Skin - Sun Exposed (Lower leg)	GTEX-QDVJ
SRR607935	GTEX-PWO3-0011-R1A-SM-2I5EW	Brain - Hippocampus	GTEX-PWO3
SRR8228349	GTEX-PWO3-0011-R1A-SM-2I5EW	Brain - Hippocampus	GTEX-PWO3
SRR599225	GTEX-P44G-0011-R11A-SM-2I3FD	Brain - Cerebellar Hemisphere	GTEX-P44G
SRR8228034	GTEX-P44G-0011-R11A-SM-2I3FD	Brain - Cerebellar Hemisphere	GTEX-P44G
SRR602365	GTEX-N7MT-0011-R3a-SM-2I3GC	Brain - Anterior cingulate cortex (BA24)	GTEX-N7MT
SRR8227640	GTEX-N7MT-0011-R3a-SM-2I3GC	Brain - Anterior cingulate cortex (BA24)	GTEX-N7MT
SRR608598	GTEX-OHPN-0011-R2A-SM-2I5FB	Brain - Substantia nigra	GTEX-OHPN
SRR8227865	GTEX-OHPN-0011-R2A-SM-2I5FB	Brain - Substantia nigra	GTEX-OHPN
SRR608264	GTEX-P4PP-1626-SM-2HMJF	Muscle - Skeletal	GTEX-P4PP
SRR8228087	GTEX-P4PP-1626-SM-2HMJF	Muscle - Skeletal	GTEX-P4PP
SRR603534	GTEX-NL4W-0011-R4a-SM-2I5GZ	Brain - Amygdala	GTEX-NL4W
SRR8227700	GTEX-NL4W-0011-R4a-SM-2I5GZ	Brain - Amygdala	GTEX-NL4W
SRR607538	GTEX-NPJ8-0011-R7a-SM-2HMJV	Brain - Putamen (basal ganglia)	GTEX-NPJ8
SRR8227733	GTEX-NPJ8-0011-R7a-SM-2HMJV	Brain - Putamen (basal ganglia)	GTEX-NPJ8
SRR607214	GTEX-N7MS-0007-SM-2D7W1	Whole Blood	GTEX-N7MS
SRR8227607	GTEX-N7MS-0007-SM-2D7W1	Whole Blood	GTEX-N7MS
SRR604414	GTEX-PWN1-0126-SM-2I3FK	Skin - Sun Exposed (Lower leg)	GTEX-PWN1
SRR8228334	GTEX-PWN1-0126-SM-2I3FK	Skin - Sun Exposed (Lower leg)	GTEX-PWN1
SRR601986	GTEX-OIZG-1126-SM-2HMIU	Heart - Left Ventricle	GTEX-OIZG
SRR8227892	GTEX-OIZG-1126-SM-2HMIU	Heart - Left Ventricle	GTEX-OIZG
SRR607042	GTEX-P4PP-0005-SM-2HMKX	Whole Blood	GTEX-P4PP
SRR8228071	GTEX-P4PP-0005-SM-2HMKX	Whole Blood	GTEX-P4PP
SRR599059	GTEX-OIZG-0526-SM-2HMLF	Lung	GTEX-OIZG
SRR8227887	GTEX-OIZG-0526-SM-2HMLF	Lung	GTEX-OIZG
SRR600900	GTEX-PX3G-0526-SM-2I3EM	Lung	GTEX-PX3G
SRR8228386	GTEX-PX3G-0526-SM-2I3EM	Lung	GTEX-PX3G
SRR603330	GTEX-NPJ8-0007-SM-2D7VX	Whole Blood	GTEX-NPJ8
SRR8227722	GTEX-NPJ8-0007-SM-2D7VX	Whole Blood	GTEX-NPJ8
SRR599122	GTEX-P44G-0626-SM-2I5EO	Thyroid	GTEX-P44G
SRR8228044	GTEX-P44G-0626-SM-2I5EO	Thyroid	GTEX-P44G
SRR604074	GTEX-Q2AG-0011-R2A-SM-2HMIT	Brain - Substantia nigra	GTEX-Q2AG
SRR8228408	GTEX-Q2AG-0011-R2A-SM-2HMIT	Brain - Substantia nigra	GTEX-Q2AG
SRR601038	GTEX-PWCY-0005-SM-2I3E2	Whole Blood	GTEX-PWCY
SRR8228305	GTEX-PWCY-0005-SM-2I3E2	Whole Blood	GTEX-PWCY
SRR608150	GTEX-Q734-1826-SM-2I3EL	Adipose - Subcutaneous	GTEX-Q734
SRR8228486	GTEX-Q734-1826-SM-2I3EL	Adipose - Subcutaneous	GTEX-Q734
SRR602704	GTEX-Q2AG-0011-R10A-SM-2HMLA	Brain - Frontal Cortex (BA9)	GTEX-Q2AG
SRR8228405	GTEX-Q2AG-0011-R10A-SM-2HMLA	Brain - Frontal Cortex (BA9)	GTEX-Q2AG
SRR602839	GTEX-OXRN-0011-R5A-SM-2I5EF	Brain - Caudate (basal ganglia)	GTEX-OXRN
SRR8227994	GTEX-OXRN-0011-R5A-SM-2I5EF	Brain - Caudate (basal ganglia)	GTEX-OXRN
SRR608480	GTEX-OHPL-0326-SM-2HMKS	Heart - Left Ventricle	GTEX-OHPL
SRR8227824	GTEX-OHPL-0326-SM-2HMKS	Heart - Left Ventricle	GTEX-OHPL
SRR601671	GTEX-OIZH-1626-SM-2HMKI	Muscle - Skeletal	GTEX-OIZH
SRR8227906	GTEX-OIZH-1626-SM-2HMKI	Muscle - Skeletal	GTEX-OIZH
SRR602058	GTEX-OOBK-0526-SM-2HMJJ	Lung	GTEX-OOBK
SRR8227947	GTEX-OOBK-0526-SM-2HMJJ	Lung	GTEX-OOBK
SRR602516	GTEX-NL3H-0011-R10A-SM-2I3E9	Brain - Frontal Cortex (BA9)	GTEX-NL3H
SRR8227685	GTEX-NL3H-0011-R10A-SM-2I3E9	Brain - Frontal Cortex (BA9)	GTEX-NL3H
SRR607647	GTEX-PWO3-0011-R5A-SM-2I5EZ	Brain - Caudate (basal ganglia)	GTEX-PWO3
SRR8228352	GTEX-PWO3-0011-R5A-SM-2I5EZ	Brain - Caudate (basal ganglia)	GTEX-PWO3
SRR603164	GTEX-P4PQ-1626-SM-2HMKK	Muscle - Skeletal	GTEX-P4PQ
SRR8228105	GTEX-P4PQ-1626-SM-2HMKK	Muscle - Skeletal	GTEX-P4PQ
SRR603472	GTEX-P4QS-0005-SM-2I3EY	Whole Blood	GTEX-P4QS
SRR8228119	GTEX-P4QS-0005-SM-2I3EY	Whole Blood	GTEX-P4QS
SRR603750	GTEX-NPJ8-0326-SM-2D7VV	Lung	GTEX-NPJ8
SRR8227738	GTEX-NPJ8-0326-SM-2D7VV	Lung	GTEX-NPJ8
SRR598792	GTEX-QDVN-0926-SM-2I5GL	Pancreas	GTEX-QDVN
SRR8228568	GTEX-QDVN-0926-SM-2I5GL	Pancreas	GTEX-QDVN
SRR606982	GTEX-QEG5-0226-SM-2I5GI	Skin - Sun Exposed (Lower leg)	GTEX-QEG5
SRR8228601	GTEX-QEG5-0226-SM-2I5GI	Skin - Sun Exposed (Lower leg)	GTEX-QEG5
SRR600385	GTEX-PWO3-0011-R3A-SM-2I5EX	Brain - Anterior cingulate cortex (BA24)	GTEX-PWO3
SRR8228351	GTEX-PWO3-0011-R3A-SM-2I5EX	Brain - Anterior cingulate cortex (BA24)	GTEX-PWO3
SRR600852	GTEX-OXRL-0326-SM-2I3F2	Heart - Left Ventricle	GTEX-OXRL
SRR8227980	GTEX-OXRL-0326-SM-2I3F2	Heart - Left Ventricle	GTEX-OXRL
SRR603036	GTEX-QDVJ-0226-SM-2I5FV	Thyroid	GTEX-QDVJ
SRR8228542	GTEX-QDVJ-0226-SM-2I5FV	Thyroid	GTEX-QDVJ
SRR603236	GTEX-P4QR-0726-SM-2I5GO	Muscle - Skeletal	GTEX-P4QR
SRR8228117	GTEX-P4QR-0726-SM-2I5GO	Muscle - Skeletal	GTEX-P4QR
SRR603776	GTEX-OXRP-0526-SM-2I3EW	Lung	GTEX-OXRP
SRR8228027	GTEX-OXRP-0526-SM-2I3EW	Lung	GTEX-OXRP
SRR600584	GTEX-OHPL-0526-SM-2HMIX	Lung	GTEX-OHPL
SRR8227827	GTEX-OHPL-0526-SM-2HMIX	Lung	GTEX-OHPL
SRR607502	GTEX-PSDG-0726-SM-2I5FN	Thyroid	GTEX-PSDG
SRR8228266	GTEX-PSDG-0726-SM-2I5FN	Thyroid	GTEX-PSDG
SRR607091	GTEX-NPJ8-0011-R3a-SM-2HMIW	Brain - Anterior cingulate cortex (BA24)	GTEX-NPJ8
SRR8227729	GTEX-NPJ8-0011-R3a-SM-2HMIW	Brain - Anterior cingulate cortex (BA24)	GTEX-NPJ8
SRR602564	GTEX-P78B-0005-SM-2I5GM	Whole Blood	GTEX-P78B
SRR8228153	GTEX-P78B-0005-SM-2I5GM	Whole Blood	GTEX-P78B
SRR598452	GTEX-OHPN-2726-SM-2I5H4	Muscle - Skeletal	GTEX-OHPN
SRR8227879	GTEX-OHPN-2726-SM-2I5H4	Muscle - Skeletal	GTEX-OHPN
SRR607141	GTEX-NPJ8-0011-R6a-SM-2HMKB	Brain - Nucleus accumbens (basal ganglia)	GTEX-NPJ8
SRR8227732	GTEX-NPJ8-0011-R6a-SM-2HMKB	Brain - Nucleus accumbens (basal ganglia)	GTEX-NPJ8
SRR598831	GTEX-Q2AG-0005-SM-2HMK3	Whole Blood	GTEX-Q2AG
SRR8228401	GTEX-Q2AG-0005-SM-2HMK3	Whole Blood	GTEX-Q2AG
SRR603890	GTEX-NL4W-0006-SM-2I3GH	Whole Blood	GTEX-NL4W
SRR8227695	GTEX-NL4W-0006-SM-2I3GH	Whole Blood	GTEX-NL4W
SRR607887	GTEX-NL4W-0011-R11A-SM-2I3DW	Brain - Cerebellar Hemisphere	GTEX-NL4W
SRR8227698	GTEX-NL4W-0011-R11A-SM-2I3DW	Brain - Cerebellar Hemisphere	GTEX-NL4W
SRR607445	GTEX-OHPN-0011-R4A-SM-2I5FD	Brain - Amygdala	GTEX-OHPN
SRR8227867	GTEX-OHPN-0011-R4A-SM-2I5FD	Brain - Amygdala	GTEX-OHPN
SRR600417	GTEX-Q2AI-0526-SM-2I3EJ	Lung	GTEX-Q2AI
SRR8228461	GTEX-Q2AI-0526-SM-2I3EJ	Lung	GTEX-Q2AI
SRR604677	GTEX-OXRO-0326-SM-2I5EE	Lung	GTEX-OXRO
SRR8228013	GTEX-OXRO-0326-SM-2I5EE	Lung	GTEX-OXRO
SRR600724	GTEX-NPJ8-0011-R1a-SM-2HMLC	Brain - Hippocampus	GTEX-NPJ8
SRR8227725	GTEX-NPJ8-0011-R1a-SM-2HMLC	Brain - Hippocampus	GTEX-NPJ8
SRR603004	GTEX-P78B-0926-SM-2I5FA	Lung	GTEX-P78B
SRR8228162	GTEX-P78B-0926-SM-2I5FA	Lung	GTEX-P78B
SRR607311	GTEX-N7MS-2526-SM-2D7W3	Brain - Cerebellum	GTEX-N7MS
SRR8227633	GTEX-N7MS-2526-SM-2D7W3	Brain - Cerebellum	GTEX-N7MS
SRR607478	GTEX-NPJ7-0011-R4a-SM-2I3GJ	Brain - Amygdala	GTEX-NPJ7
SRR8227711	GTEX-NPJ7-0011-R4a-SM-2I3GJ	Brain - Amygdala	GTEX-NPJ7
SRR601815	GTEX-OHPM-1626-SM-2HMK4	Muscle - Skeletal	GTEX-OHPM
SRR8227852	GTEX-OHPM-1626-SM-2HMK4	Muscle - Skeletal	GTEX-OHPM
SRR627459	GTEX-O5YV-0526-SM-2D7VZ	Lung	GTEX-O5YV
SRR598725	GTEX-PWOO-0006-SM-2I3E3	Whole Blood	GTEX-PWOO
SRR8228358	GTEX-PWOO-0006-SM-2I3E3	Whole Blood	GTEX-PWOO
SRR607743	GTEX-P4QR-0006-SM-2I5GN	Whole Blood	GTEX-P4QR
SRR8228111	GTEX-P4QR-0006-SM-2I5GN	Whole Blood	GTEX-P4QR
