Run	Sample_Name	body_site	submitted_subject_id
SRR8219158	GTEX-11UD2-0926-SM-5CVL6	Heart - Atrial Appendage	GTEX-11UD2
SRR1402437	GTEX-QEG4-0726-SM-4R1JL	Esophagus - Mucosa	GTEX-QEG4
SRR8228592	GTEX-QEG4-0726-SM-4R1JL	Esophagus - Mucosa	GTEX-QEG4
SRR1402454	GTEX-13OVL-0011-R5b-SM-5L3FU	Brain - Caudate (basal ganglia)	GTEX-13OVL
SRR8221333	GTEX-13OVL-0011-R5b-SM-5L3FU	Brain - Caudate (basal ganglia)	GTEX-13OVL
SRR1402473	GTEX-13N2G-0011-R11a-SM-5MR3F	Brain - Cerebellar Hemisphere	GTEX-13N2G
SRR8220955	GTEX-13N2G-0011-R11a-SM-5MR3F	Brain - Cerebellar Hemisphere	GTEX-13N2G
SRR1402491	GTEX-ZVTK-0826-SM-5GZXI	Nerve - Tibial	GTEX-ZVTK
SRR8232664	GTEX-ZVTK-0826-SM-5GZXI	Nerve - Tibial	GTEX-ZVTK
SRR1402513	GTEX-ZVT3-0011-R11b-SM-57WBI	Brain - Cerebellar Hemisphere	GTEX-ZVT3
SRR8232623	GTEX-ZVT3-0011-R11b-SM-57WBI	Brain - Cerebellar Hemisphere	GTEX-ZVT3
SRR1402536	GTEX-OHPN-0004-SM-4X5ZI	Whole Blood	GTEX-OHPN
SRR1402563	K-562-SM-5QGOR	Cells - Leukemia cell line (CML)	K-562
SRR8233073	K-562-SM-5QGOR	Cells - Leukemia cell line (CML)	K-562
SRR1402590	GTEX-11NV4-1326-SM-5HL6V	Liver	GTEX-11NV4
SRR8218906	GTEX-11NV4-1326-SM-5HL6V	Liver	GTEX-11NV4
SRR1402772	GTEX-12BJ1-1726-SM-5HL9B	Stomach	GTEX-12BJ1
SRR8219485	GTEX-12BJ1-1726-SM-5HL9B	Stomach	GTEX-12BJ1
SRR1402794	GTEX-13X6K-0326-SM-5Q5D6	Muscle - Skeletal	GTEX-13X6K
SRR8221934	GTEX-13X6K-0326-SM-5Q5D6	Muscle - Skeletal	GTEX-13X6K
SRR1402840	GTEX-12WSH-0011-R9b-SM-5LZUG	Brain - Spinal cord (cervical c-1)	GTEX-12WSH
SRR8219704	GTEX-12WSH-0011-R9b-SM-5LZUG	Brain - Spinal cord (cervical c-1)	GTEX-12WSH
SRR1402882	GTEX-13N1W-0011-R9b-SM-5MR4R	Brain - Spinal cord (cervical c-1)	GTEX-13N1W
SRR8220937	GTEX-13N1W-0011-R9b-SM-5MR4R	Brain - Spinal cord (cervical c-1)	GTEX-13N1W
SRR1402900	GTEX-11H98-0011-R10b-SM-5NQ98	Brain - Frontal Cortex (BA9)	GTEX-11H98
SRR8218787	GTEX-11H98-0011-R10b-SM-5NQ98	Brain - Frontal Cortex (BA9)	GTEX-11H98
SRR1402922	GTEX-12584-0826-SM-5FQSK	Thyroid	GTEX-12584
SRR8219414	GTEX-12584-0826-SM-5FQSK	Thyroid	GTEX-12584
SRR1402944	GTEX-13O3P-1326-SM-5K7Y8	Esophagus - Muscularis	GTEX-13O3P
