GTEX-14BMV	GTEX-14BMV-0005-SM-5NQ6Y	SRR1361590
GTEX-14C38	GTEX-14C38-0006-SM-5NQBF	SRR1338055
GTEX-14C39	GTEX-14C39-0005-SM-5NQBR	SRR1440421
GTEX-14C5O	GTEX-14C5O-0005-SM-5P9ER	SRR1333462
GTEX-14DAQ	GTEX-14DAQ-0005-SM-5NQ7B	SRR1348468
GTEX-14DAR	GTEX-14DAR-0006-SM-5N9GC	SRR1376619
GTEX-14E1K	GTEX-14E1K-0006-SM-5N9DY	SRR1320785
GTEX-14E6C	GTEX-14E6C-0005-SM-5O98N	SRR1415684
GTEX-14E6D	GTEX-14E6D-0005-SM-5N9D7	SRR1436065
GTEX-14E6E	GTEX-14E6E-0006-SM-5MR5N	SRR1316015
GTEX-14E7W	GTEX-14E7W-0006-SM-5N9GG	SRR1317832
GTEX-14H4A	GTEX-14H4A-0006-SM-5N9E3	SRR1354138
GTEX-14ICK	GTEX-14ICK-0006-SM-5NQB5	SRR1466556
GTEX-14ICL	GTEX-14ICL-0006-SM-5SIAB	SRR1420558
GTEX-N7MS	GTEX-N7MS-0007-SM-2D7W1	SRR607214
GTEX-N7MT	GTEX-N7MT-0007-SM-3GACQ	SRR809283
GTEX-NFK9	GTEX-NFK9-0006-SM-3GACS	SRR810945
GTEX-NL3G	GTEX-NL3G-0007-SM-4SOIF	SRR1498789
GTEX-NPJ7	GTEX-NPJ7-0006-SM-3GACR	SRR809427
GTEX-NPJ8	GTEX-NPJ8-0007-SM-2D7VX	SRR603330
GTEX-O5YT	GTEX-O5YT-0007-SM-32PK7	SRR815494
GTEX-O5YW	GTEX-O5YW-0006-SM-3LK6E	SRR817444
GTEX-OHPK	GTEX-OHPK-0006-SM-2HMKH	SRR602784
GTEX-OHPL	GTEX-OHPL-0006-SM-3MJHB	SRR819164
GTEX-OHPM	GTEX-OHPM-0006-SM-2HMKU	SRR607018
GTEX-OHPN	GTEX-OHPN-0005-SM-2YUML	SRR614503
GTEX-OIZF	GTEX-OIZF-0006-SM-2I5GQ	SRR607219
GTEX-OIZH	GTEX-OIZH-0005-SM-2HMJN	SRR608344
GTEX-OIZI	GTEX-OIZI-0005-SM-2XCED	SRR817464
GTEX-OOBJ	GTEX-OOBJ-0006-SM-2I3F4	SRR601263
GTEX-OOBK	GTEX-OOBK-0005-SM-2YUMG	SRR614635
GTEX-OXRL	GTEX-OXRL-0005-SM-3LK6A	SRR812177
GTEX-OXRO	GTEX-OXRO-0006-SM-2I5EM	SRR599281
GTEX-OXRP	GTEX-OXRP-0006-SM-2I3FN	SRR598172
GTEX-P44H	GTEX-P44H-0006-SM-2XCFB	SRR661529
GTEX-P4PP	GTEX-P4PP-0005-SM-2HMKX	SRR607042
GTEX-P4PQ	GTEX-P4PQ-0005-SM-2HMKJ	SRR601335
GTEX-P4QS	GTEX-P4QS-0005-SM-2I3EY	SRR603472
GTEX-P78B	GTEX-P78B-0005-SM-2I5GM	SRR602564
GTEX-PLZ4	GTEX-PLZ4-0006-SM-5SI8L	SRR1399433
GTEX-PLZ5	GTEX-PLZ5-0006-SM-5S2W5	SRR1476207
GTEX-PLZ6	GTEX-PLZ6-0006-SM-33HBZ	SRR663585
GTEX-POMQ	GTEX-POMQ-0006-SM-5SI7D	SRR1481351
GTEX-PSDG	GTEX-PSDG-0005-SM-3GADC	SRR663236
GTEX-PVOW	GTEX-PVOW-0006-SM-3NMB8	SRR814317
GTEX-PW2O	GTEX-PW2O-0006-SM-2I3DV	SRR604002
GTEX-PWCY	GTEX-PWCY-0005-SM-33HBP	SRR659875
GTEX-PWN1	GTEX-PWN1-0006-SM-5SI7T	SRR1488261
GTEX-PX3G	GTEX-PX3G-0006-SM-5SI7E	SRR1389133
GTEX-Q2AG	GTEX-Q2AG-0005-SM-5SI7F	SRR1351166
GTEX-Q2AH	GTEX-Q2AH-0005-SM-33HBR	SRR658681
GTEX-Q2AI	GTEX-Q2AI-0006-SM-2I3FG	SRR602034
GTEX-Q734	GTEX-Q734-0006-SM-2I3FJ	SRR603140
